No,Name,Address,Class,District,Longitude,Latitude,Pop,Envi_Fact
591,RS AL Cilandak,"Jl. Raya Cilandak,Jaksel",3,Jakarta Selatan,106.8148673,-6.309596777,0.408158,0.146496
592,RS Pusdikkes,"Jl. Raya Bogor,Jakarta Timur",4,Jakarta Timur,106.8690142,-6.276140142,7.533272,0.414746
593,Rumkit Tk IV Cijantung,"Jl. Mahoni Pasar Rebo,Jaktim",4,Jakarta Timur,106.858999,-6.307282503,7.001775,0.094796
594,RSUP Fatmawati,"Jl. RS Fatmawati Cilandak,Jaksel",A,Kota Jakarta Selatan,106.7955639,-6.294846071,5.586843,0.148545
595,RS MMC,"Jl. H R. Rasuna Said No.21,Jaksel",A,Kota Jakarta Selatan,106.8324139,-6.219879664,0.408158,0.481336
596,RSU Dr. Cipto Mangunkusumo (RSCM),Jl. Diponegoro 71 Jakarta Pusat,A,Jakarta Pusat,106.8451535,-6.196661125,7.993453,0.205483
597,RSUP Persahabatan,"Jl. Raya Persahabatan,Jaktim",B,Kota Jakarta Timur,106.8847726,-6.204058773,7.928029,0.403125
598,RSUD Budhi Asih,"Jl. Dewi Sartika, Cawang III/ 200,Jakarta Timur",B,Kota Jakarta Timur,106.8633645,-6.256167828,0.074946,0.426228
599,RS Mitra Keluarga Kelapa Gading,Jl. Bukit Gading Raya Kav.2,B,Kota Jakarta Utara,106.8971021,-6.151922964,7.028973,0.316874
600,RS Mitra Kemayoran,Jl. Landas Pacu Timur Kemayoran,B,Kota Jakarta Utara,106.8586379,-6.152074573,6.773783,0.028748
601,RS Omni Medical Center,"Jl. Pulomas Barat VI/20,Jaktim",B,Jakarta Timur,106.8836133,-6.179948414,0.500025,0.366464
602,RS Siloam Graha Medika,Jl. Perjuangan Raya Kav.8 Jakarta Barat,B,Jakarta Barat,106.7634717,-6.19077957,9.730585,0.398969
603,RS Sint Carolus,Jl. Salemba Raya No.41 Jakarta Pusat,B,Jakarta Pusat,106.8451312,-6.184737488,8.231556,0.176128
